mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__learning_rate,param_clf__max_depth,param_clf__min_child_weight,param_clf__n_estimators,param_clf__reg_alpha,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20515189170837403,0.00415896707487028,0.015408039093017578,0.0010818305803542414,0.6247240713084175,4.75357153204958,0.295477637306448,7,7,171,0.15599452033620265,0.05808361216819946,0.9330880728874675,"{'clf__colsample_bytree': 0.6247240713084175, 'clf__gamma': 4.75357153204958, 'clf__learning_rate': 0.295477637306448, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__n_estimators': 171, 'clf__reg_alpha': 0.15599452033620265, 'clf__reg_lambda': 0.05808361216819946, 'clf__subsample': 0.9330880728874675}",0.8379849320555881,0.8385472837642128,0.8343784344539282,0.8051143191692601,0.8293814644768331,0.8290812867839644,0.01242131566849472,4,0.8456722510245587,0.8446363779927895,0.8470328725387485,0.8546599280754732,0.8456821210673898,0.8475367101397919,0.0036420247409983957
0.6355479240417481,0.023244740431834353,0.02109670639038086,0.001326650990792149,0.7606690070459252,3.540362888980227,0.018027952775362954,4,8,541,0.9385527090157502,0.0007787658410143283,0.9961057796456088,"{'clf__colsample_bytree': 0.7606690070459252, 'clf__gamma': 3.540362888980227, 'clf__learning_rate': 0.018027952775362954, 'clf__max_depth': 4, 'clf__min_child_weight': 8, 'clf__n_estimators': 541, 'clf__reg_alpha': 0.9385527090157502, 'clf__reg_lambda': 0.0007787658410143283, 'clf__subsample': 0.9961057796456088}",0.8431423905340031,0.838113322856644,0.8316822276317546,0.8058589858153843,0.8297589334319375,0.8297111720539447,0.012835948718886155,1,0.8396114830164647,0.8395699164946229,0.8406053883051388,0.847159176989287,0.8413008652256083,0.8416493660062242,0.0028300684322038246
0.9646132946014404,0.031607116974720705,0.03411698341369629,0.0014079189894520428,0.77048890577663,3.0582658024414044,0.01275585903568979,11,1,524,0.6118528947223795,0.13949386065204183,0.6460723242676091,"{'clf__colsample_bytree': 0.77048890577663, 'clf__gamma': 3.0582658024414044, 'clf__learning_rate': 0.01275585903568979, 'clf__max_depth': 11, 'clf__min_child_weight': 1, 'clf__n_estimators': 524, 'clf__reg_alpha': 0.6118528947223795, 'clf__reg_lambda': 0.13949386065204183, 'clf__subsample': 0.6460723242676091}",0.837097751620292,0.8346326482400188,0.8283106851960271,0.8005423227436601,0.8272963978676856,0.8255759611335367,0.013052945312493118,13,0.8845454548372518,0.8811457466695427,0.8837136429349111,0.8882963118458489,0.879491110220935,0.883438453301698,0.0030244997096148963
0.33696894645690917,0.013832655620919267,0.016577911376953126,0.002190582386854239,0.619817105976215,2.28034992108518,0.31621862494327535,5,7,293,0.5924145688620425,0.046450412719997725,0.8037724259507192,"{'clf__colsample_bytree': 0.619817105976215, 'clf__gamma': 2.28034992108518, 'clf__learning_rate': 0.31621862494327535, 'clf__max_depth': 5, 'clf__min_child_weight': 7, 'clf__n_estimators': 293, 'clf__reg_alpha': 0.5924145688620425, 'clf__reg_lambda': 0.046450412719997725, 'clf__subsample': 0.8037724259507192}",0.8224252508756252,0.8162162717365626,0.813235037336045,0.781062870407461,0.8209744348236938,0.8107827730358776,0.015219897376901274,31,0.8950028053390032,0.8992498125494304,0.895205743048922,0.9032615436169229,0.8943714435748107,0.8974182696258179,0.0033914979279251584
0.5943719387054444,0.010031163655010512,0.025955629348754884,0.0016616602285704795,0.502314474212375,0.3252579649263976,0.3800653595288,4,9,395,0.09767211400638387,0.6842330265121569,0.7200762468698007,"{'clf__colsample_bytree': 0.502314474212375, 'clf__gamma': 0.3252579649263976, 'clf__learning_rate': 0.3800653595288, 'clf__max_depth': 4, 'clf__min_child_weight': 9, 'clf__n_estimators': 395, 'clf__reg_alpha': 0.09767211400638387, 'clf__reg_lambda': 0.6842330265121569, 'clf__subsample': 0.7200762468698007}",0.7863500035949424,0.7753289372323052,0.7680517466284575,0.739705625571339,0.7696360891134872,0.7678144804281063,0.015450015889582674,50,0.9933995894062181,0.9937906998839346,0.9932577175710515,0.9946310176768456,0.9932634951570989,0.9936685039390298,0.0005189329675306035
0.5286724090576171,0.010576049700707359,0.0222076416015625,0.0020332781979597687,0.47322294090686734,2.475884550556351,0.023411523234935176,3,4,437,0.31171107608941095,0.5200680211778108,0.7733551396716398,"{'clf__colsample_bytree': 0.47322294090686734, 'clf__gamma': 2.475884550556351, 'clf__learning_rate': 0.023411523234935176, 'clf__max_depth': 3, 'clf__min_child_weight': 4, 'clf__n_estimators': 437, 'clf__reg_alpha': 0.31171107608941095, 'clf__reg_lambda': 0.5200680211778108, 'clf__subsample': 0.7733551396716398}",0.8403819883113015,0.8371747861009255,0.8326836758799906,0.8047843548105466,0.830554956398484,0.8291159523002497,0.0126387846754847,3,0.8486105547509731,0.8467861214679692,0.847616488973798,0.8557318307757886,0.8475702682854178,0.8492630528507894,0.0032858095767769003
0.33119215965271,0.004343277514287188,0.015096521377563477,0.0013717803626705927,0.5109126733153162,4.847923138822793,0.3123018011108347,4,4,319,0.7272719958564209,0.3265407688058354,0.7852219872026998,"{'clf__colsample_bytree': 0.5109126733153162, 'clf__gamma': 4.847923138822793, 'clf__learning_rate': 0.3123018011108347, 'clf__max_depth': 4, 'clf__min_child_weight': 4, 'clf__n_estimators': 319, 'clf__reg_alpha': 0.7272719958564209, 'clf__reg_lambda': 0.3265407688058354, 'clf__subsample': 0.7852219872026998}",0.8393253320186114,0.835581456259822,0.8310582483386231,0.8045930525169733,0.8299399644614263,0.8280996107190912,0.012220421828726256,7,0.8426208029047135,0.8394875858934459,0.84021764808595,0.8479166827155168,0.8414606315286722,0.8423406702256597,0.002986374756306823
0.3171390056610107,0.0074063236005655776,0.016453933715820313,0.0017399441699145776,0.7125005560154942,4.805860121746745,0.33936820098447906,4,5,266,0.28093450968738076,0.5426960831582485,0.5704621124873813,"{'clf__colsample_bytree': 0.7125005560154942, 'clf__gamma': 4.805860121746745, 'clf__learning_rate': 0.33936820098447906, 'clf__max_depth': 4, 'clf__min_child_weight': 5, 'clf__n_estimators': 266, 'clf__reg_alpha': 0.28093450968738076, 'clf__reg_lambda': 0.5426960831582485, 'clf__subsample': 0.5704621124873813}",0.8312020460358056,0.8259791082488522,0.8212081060816154,0.791226286219045,0.8214469129715796,0.8182124919113797,0.013976690074588221,22,0.8537827781715095,0.8541853635770703,0.8552270944391377,0.8620557999260468,0.8551532697285305,0.8560808611684589,0.0030385303435798605
0.6875253200531006,0.018371873471269836,0.019161224365234375,0.0006188951936744552,0.8813181884524238,0.3727532183988541,0.39488590527420175,10,1,521,0.014079822715084456,0.19884240408880516,0.855670976374325,"{'clf__colsample_bytree': 0.8813181884524238, 'clf__gamma': 0.3727532183988541, 'clf__learning_rate': 0.39488590527420175, 'clf__max_depth': 10, 'clf__min_child_weight': 1, 'clf__n_estimators': 521, 'clf__reg_alpha': 0.014079822715084456, 'clf__reg_lambda': 0.19884240408880516, 'clf__subsample': 0.855670976374325}",0.7879189391838454,0.7963156975729003,0.7932291827155167,0.759880956049261,0.7909181482965109,0.7856525847636068,0.013176844687374005,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3503554344177246,0.011737204150610128,0.016310453414916992,0.0009243732384722797,0.8741053243187233,3.029799873905057,0.3712573426202061,11,7,250,0.6232981268275579,0.3308980248526492,0.5317791751430119,"{'clf__colsample_bytree': 0.8741053243187233, 'clf__gamma': 3.029799873905057, 'clf__learning_rate': 0.3712573426202061, 'clf__max_depth': 11, 'clf__min_child_weight': 7, 'clf__n_estimators': 250, 'clf__reg_alpha': 0.6232981268275579, 'clf__reg_lambda': 0.3308980248526492, 'clf__subsample': 0.5317791751430119}",0.7928208999681592,0.802611982456681,0.7899064287841905,0.7670888156205384,0.7962129849320556,0.789728222352325,0.01208455683653457,44,0.92414639375918,0.9191539174601218,0.9199780259143993,0.9278220619049087,0.9160247126613873,0.9214250223399993,0.004116868670534989
