mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__learning_rate,param_clf__max_depth,param_clf__min_child_weight,param_clf__n_estimators,param_clf__reg_alpha,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2122878074645996,0.006898150391277461,0.015488386154174805,0.0009659558435272229,0.6247240713084175,4.75357153204958,0.295477637306448,7,7,171,0.15599452033620265,0.05808361216819946,0.9330880728874675,"{'clf__colsample_bytree': 0.6247240713084175, 'clf__gamma': 4.75357153204958, 'clf__learning_rate': 0.295477637306448, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__n_estimators': 171, 'clf__reg_alpha': 0.15599452033620265, 'clf__reg_lambda': 0.05808361216819946, 'clf__subsample': 0.9330880728874675}",0.8326061920598163,0.8452134288151908,0.8278251413441633,0.8341072423952858,0.8066633321388756,0.8292830673506664,0.01266388730505811,14,0.8796849153528421,0.8743424008370243,0.8778921957363437,0.8772170390757413,0.885484987016218,0.8789243076036339,0.003703914924878738
0.6736385822296143,0.020922821159957788,0.026290035247802733,0.0009666550624588566,0.7606690070459252,3.540362888980227,0.018027952775362954,4,8,541,0.9385527090157502,0.0007787658410143283,0.9961057796456088,"{'clf__colsample_bytree': 0.7606690070459252, 'clf__gamma': 3.540362888980227, 'clf__learning_rate': 0.018027952775362954, 'clf__max_depth': 4, 'clf__min_child_weight': 8, 'clf__n_estimators': 541, 'clf__reg_alpha': 0.9385527090157502, 'clf__reg_lambda': 0.0007787658410143283, 'clf__subsample': 0.9961057796456088}",0.8429872323278553,0.8544614718765469,0.8376060081223126,0.8422021818760949,0.8129927138079313,0.8380499216021482,0.013704145406511412,2,0.8548580733481701,0.8501789702318627,0.856857225047037,0.8566688435881886,0.8628614078462472,0.8562849040123011,0.004075380637875305
1.4404097080230713,0.02783150545682547,0.049379920959472655,0.00624922836289076,0.77048890577663,3.0582658024414044,0.01275585903568979,11,1,524,0.6118528947223795,0.13949386065204183,0.6460723242676091,"{'clf__colsample_bytree': 0.77048890577663, 'clf__gamma': 3.0582658024414044, 'clf__learning_rate': 0.01275585903568979, 'clf__max_depth': 11, 'clf__min_child_weight': 1, 'clf__n_estimators': 524, 'clf__reg_alpha': 0.6118528947223795, 'clf__reg_lambda': 0.13949386065204183, 'clf__subsample': 0.6460723242676091}",0.8355300959378755,0.852777522131378,0.8313301282051282,0.835612756808409,0.8097651895206243,0.833003138520683,0.013762435146616648,9,0.9513027107649152,0.9434305709490189,0.9469478005317908,0.947804185909098,0.9473320271804202,0.9473634590670488,0.002504129110841393
0.3881866931915283,0.006022013301209646,0.018443536758422852,0.0017678083490010427,0.619817105976215,2.28034992108518,0.31621862494327535,5,7,293,0.5924145688620425,0.046450412719997725,0.8037724259507192,"{'clf__colsample_bytree': 0.619817105976215, 'clf__gamma': 2.28034992108518, 'clf__learning_rate': 0.31621862494327535, 'clf__max_depth': 5, 'clf__min_child_weight': 7, 'clf__n_estimators': 293, 'clf__reg_alpha': 0.5924145688620425, 'clf__reg_lambda': 0.046450412719997725, 'clf__subsample': 0.8037724259507192}",0.8113926538003289,0.8383706729083081,0.8070925903806339,0.8149610805860805,0.7913954252269471,0.8126424845804596,0.015173111057725962,32,0.9580086710015971,0.9514972554580206,0.9502999486868499,0.9504635287897871,0.9554937724495032,0.9531526352771514,0.0030715274065297583
0.6221910953521729,0.011851150636780402,0.02563366889953613,0.0010031285822726477,0.502314474212375,0.3252579649263976,0.3800653595288,4,9,395,0.09767211400638387,0.6842330265121569,0.7200762468698007,"{'clf__colsample_bytree': 0.502314474212375, 'clf__gamma': 0.3252579649263976, 'clf__learning_rate': 0.3800653595288, 'clf__max_depth': 4, 'clf__min_child_weight': 9, 'clf__n_estimators': 395, 'clf__reg_alpha': 0.09767211400638387, 'clf__reg_lambda': 0.6842330265121569, 'clf__subsample': 0.7200762468698007}",0.7739651917389455,0.8165937452584503,0.7824618768912247,0.7837994206880077,0.7788735268354834,0.7871387522824224,0.015116068002106096,49,0.997526436539941,0.997680081749204,0.9977919795991355,0.9986017944053117,0.9981084106917946,0.9979417405970773,0.000381266604697192
0.5701288223266602,0.01583984247665461,0.022698259353637694,0.0008917595914146516,0.47322294090686734,2.475884550556351,0.023411523234935176,3,4,437,0.31171107608941095,0.5200680211778108,0.7733551396716398,"{'clf__colsample_bytree': 0.47322294090686734, 'clf__gamma': 2.475884550556351, 'clf__learning_rate': 0.023411523234935176, 'clf__max_depth': 3, 'clf__min_child_weight': 4, 'clf__n_estimators': 437, 'clf__reg_alpha': 0.31171107608941095, 'clf__reg_lambda': 0.5200680211778108, 'clf__subsample': 0.7733551396716398}",0.8424574224375732,0.8568070621419743,0.8379867415193503,0.8421822742474916,0.8124228579391622,0.8383712716571103,0.014453835322508789,1,0.8626397833167119,0.857522371473372,0.8634891387165492,0.8627272939310537,0.8690294039899862,0.8630815982855345,0.0036542637204275853
0.34418349266052245,0.005832607226902707,0.01599464416503906,0.0022742698027330053,0.5109126733153162,4.847923138822793,0.3123018011108347,4,4,319,0.7272719958564209,0.3265407688058354,0.7852219872026998,"{'clf__colsample_bytree': 0.5109126733153162, 'clf__gamma': 4.847923138822793, 'clf__learning_rate': 0.3123018011108347, 'clf__max_depth': 4, 'clf__min_child_weight': 4, 'clf__n_estimators': 319, 'clf__reg_alpha': 0.7272719958564209, 'clf__reg_lambda': 0.3265407688058354, 'clf__subsample': 0.7852219872026998}",0.8326223599672662,0.8551504734709513,0.8343585762064023,0.8371157827679566,0.8102802994107342,0.8339054983646621,0.014294450968869752,6,0.8758618244373328,0.8649560470508906,0.86996540249724,0.8726920744507162,0.8769861299000171,0.8720922956672392,0.00433516814221799
0.3381467819213867,0.0073316472282280425,0.02008652687072754,0.002660724744868903,0.7125005560154942,4.805860121746745,0.33936820098447906,4,5,266,0.28093450968738076,0.5426960831582485,0.5704621124873813,"{'clf__colsample_bytree': 0.7125005560154942, 'clf__gamma': 4.805860121746745, 'clf__learning_rate': 0.33936820098447906, 'clf__max_depth': 4, 'clf__min_child_weight': 5, 'clf__n_estimators': 266, 'clf__reg_alpha': 0.28093450968738076, 'clf__reg_lambda': 0.5426960831582485, 'clf__subsample': 0.5704621124873813}",0.8172628478898394,0.834928152306663,0.8063261466794076,0.8113304268195574,0.7910594839942666,0.8121814115379469,0.014313485499434165,34,0.9108311941451845,0.9131646418830308,0.9128222232588514,0.9072253580258434,0.9108368708308066,0.9109760576287433,0.0021121711330614372
0.7522157669067383,0.015822195997847198,0.020302867889404295,0.001466786493598571,0.8813181884524238,0.3727532183988541,0.39488590527420175,10,1,521,0.014079822715084456,0.19884240408880516,0.855670976374325,"{'clf__colsample_bytree': 0.8813181884524238, 'clf__gamma': 0.3727532183988541, 'clf__learning_rate': 0.39488590527420175, 'clf__max_depth': 10, 'clf__min_child_weight': 1, 'clf__n_estimators': 521, 'clf__reg_alpha': 0.014079822715084456, 'clf__reg_lambda': 0.19884240408880516, 'clf__subsample': 0.855670976374325}",0.80242070885081,0.8199243341931342,0.7931597388119127,0.7908479654403567,0.7807896360885491,0.7974284766769525,0.013186070337198505,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.42863988876342773,0.010450163272292201,0.020003604888916015,0.002117221780807765,0.8741053243187233,3.029799873905057,0.3712573426202061,11,7,250,0.6232981268275579,0.3308980248526492,0.5317791751430119,"{'clf__colsample_bytree': 0.8741053243187233, 'clf__gamma': 3.029799873905057, 'clf__learning_rate': 0.3712573426202061, 'clf__max_depth': 11, 'clf__min_child_weight': 7, 'clf__n_estimators': 250, 'clf__reg_alpha': 0.6232981268275579, 'clf__reg_lambda': 0.3308980248526492, 'clf__subsample': 0.5317791751430119}",0.7926254443065335,0.8038459720767803,0.785737926023252,0.7876726986781335,0.7721447483675744,0.7884053578904548,0.01027892115110614,48,0.9758972965752203,0.9770863363222095,0.9785053878807669,0.9785251356688591,0.9768912005722193,0.977381071403855,0.0010100891569406118
